,Headline,Source,Sentiment,Positive_score,Neutral_score,Negative_score,Key_words
11,As always Turkey's polls will be free and fair,Daily Sabah,NEUTRAL,0.10770300775766373,0.8771573305130005,0.011505728587508202,"['Turkey', 'polls']"
12,Tamam: opponents top Twitter in bid to topple Turkey's Erdoğan,The Guardian,NEUTRAL,0.015876270830631256,0.9807193875312805,0.002415114315226674,"['Tamam', 'opponents', 'top Twitter', 'bid', 'Turkey']"
13,Turkish Opposition Wants Erdogan to Avoid Ratings-Boosting Military Operations,Sputnik International,NEUTRAL,0.0032421487849205732,0.9728873372077942,0.022401852533221245,"['Turkish Opposition Wants Erdogan', 'Ratings-Boosting Military']"
14,Thousands say 'that's enough' to Turkish president on Twitter,Belfast Telegraph,NEUTRAL,0.012488736771047115,0.9703637361526489,0.015816228464245796,"['Thousands', 'Turkish president']"
15,"#TAMAM: Turkish social media erupts, telling Erdoğan ""enough is enough""",Ahval,NEUTRAL,0.01478975173085928,0.9742107391357422,0.008289691060781479,"['#TAMAM', 'Turkish social media', 'Erdoğan']"
16,"Turkish social media lights up, telling Erdoğan ""enough is enough""",Ahval,NEUTRAL,0.025517884641885757,0.9518476724624634,0.017199626192450523,"['Turkish social media', 'Erdoğan']"
17,Erdoğan slams France over Quran proposal,Hurriyet Daily News,NEUTRAL,0.0049752127379179,0.9456110000610352,0.04772890731692314,"['Erdoğan', 'France']"
18,Erdogan: Turkey will carry out new military operations after Syria offensives,Middle East Monitor,NEUTRAL,0.010546913370490074,0.982188880443573,0.0058396123349666595,"['Erdogan', 'Turkey', 'new military operations']"
19,EP President Tajani calls for fair and free elections in Turkey,Stockholm Center for Freedom,NEUTRAL,0.01170854177325964,0.9530500173568726,0.03246510401368141,"['EP President Tajani', 'fair and free elections']"
20,Erdogan: Turkey opens all military archives to investigate 1915 events,Trend News Agency,NEUTRAL,0.010016555897891521,0.9849148988723755,0.004063260275870562,"['Erdogan', 'Turkey', 'all military archives']"
21,Turk Cypriot journalist pledges to continue writing the truth about Afrin,Ahval,NEUTRAL,0.03444923460483551,0.9514766335487366,0.012040294706821442,"['Turk Cypriot journalist', 'the truth']"
22,"Turkey's Erdogan promises to lower inflation, interest rates after elections",Brinkwire (press release),NEUTRAL,0.007058761548250914,0.976464569568634,0.015092181041836739,"['Turkey', 'Erdogan', 'inflation', 'interest rates']"
23,Turkey's Erdoğan says main opposition's candidate a puppet,Ahval,NEUTRAL,0.007043412886559963,0.9437747597694397,0.04710633307695389,"['Turkey', 'Erdoğan', 'main opposition', 'candidate']"
24,"Erdoğan adviser: Lira is free-floating, interest is the enemy",Ahval,NEUTRAL,0.04237745702266693,0.9382592439651489,0.015219822525978088,"['Erdoğan adviser', 'Lira', 'interest']"
25,Turkey elections: Why Abdullah Gul's bid to challenge Erdogan failed,Middle East Eye,NEUTRAL,0.00410150270909071,0.8654488325119019,0.12529872357845306,"['Turkey elections', 'Abdullah Gul', 'bid', 'Erdogan']"
26,[TAMAM] One million tweets say 'Enough' to Turkish President Erdogan,Turkey Purge,NEUTRAL,0.006134107243269682,0.9847809076309204,0.008380153216421604,"['[TAMAM]', 'One million tweets']"
27,Erdoğan says lira under attack as currency hits new low,Ahval,NEUTRAL,0.006605412345379591,0.8381438255310059,0.1514401137828827,"['Erdoğan', 'lira', 'attack', 'currency hits']"
28,Not voting AKP targets Erdoğan and Islam - columnist,Ahval,NEUTRAL,0.019023939967155457,0.941009521484375,0.03616846352815628,"['Not voting AKP targets', 'Erdoğan and Islam']"
29,Erdoğan slams French manifesto targeting Quran,Daily Sabah,NEUTRAL,0.006468068342655897,0.9893195629119873,0.0037983183283358812,"['Erdoğan', 'French manifesto']"
30,Turkey's Perfect Path to Autocracy,Carnegie Europe,POSITIVE,0.6715269088745117,0.32203686237335205,0.0017018712824210525,"['Turkey', 'Perfect Path']"
31,A crucial turn for Turkey,Hurriyet Daily News,NEUTRAL,0.061840642243623734,0.909037172794342,0.02623659372329712,['A crucial turn']
32,Erdogan faces two-front challenge from secularists and Islamists,New Europe,NEUTRAL,0.009967293590307236,0.9841490387916565,0.0051927571184933186,"['Erdogan', 'two-front challenge', 'secularists']"
33,"Turkey is biggest country in Balkans, says Serbian president",B92,NEUTRAL,0.005634052213281393,0.7777365446090698,0.21196797490119934,"['Turkey', 'biggest country', 'Balkans']"
34,Erdogan may meet presidential candidate from Turkish opposition,Trend News Agency,NEUTRAL,0.003609106410294771,0.9938352108001709,0.0023270065430551767,"['Erdogan', 'presidential candidate']"
35,Antonio Tajani appeals for 'fair and free' elections in Turkey,The Parliament Magazine,NEUTRAL,0.03520740941166878,0.9555637240409851,0.007597923278808594,"['Antonio Tajani appeals', 'elections']"
36,Turkey: No TV debate with other candidates - Erdogan,ANSAmed,NEUTRAL,0.005810728762298822,0.960331916809082,0.031743086874485016,"['Turkey', 'No TV debate', 'other candidates']"
37,Turkey Vows to Launch Military Operations Against US-Backed Syrian Kurds,Breitbart News,NEUTRAL,0.004999851807951927,0.9906134605407715,0.003878197632730007,"['Turkey Vows', 'Launch Military Operations', 'US-Backed']"
38,Turkey's Erdoğan to visit Bosnia ahead of June election,Free Malaysia Today,NEUTRAL,0.007727631367743015,0.9829586148262024,0.008419658057391644,"['Turkey', 'Erdoğan', 'Bosnia']"
39,Erdogan rejects main Turkey opposition's TV debate challenge,Yahoo News,NEUTRAL,0.0033335797488689423,0.989700436592102,0.006414555478841066,"['Erdogan', 'main Turkey opposition', 'TV debate']"
40,Turkey's Erdogan to visit Bosnia ahead of June election,Reuters,NEUTRAL,0.0035009230487048626,0.9912232160568237,0.004801527131348848,"['Turkey', 'Erdogan', 'Bosnia']"
41,Erdogan: West cannot bear Turkey's position in Balkans,www.worldbulletin.net,NEUTRAL,0.0026181021239608526,0.9805490374565125,0.015751315280795097,"['Erdogan', 'West', 'Turkey', 'position']"
42,"Turkey won't stoop to your level, says Erdoğan after France attacks Quran",Yeni Şafak English,NEUTRAL,0.022620003670454025,0.7382619976997375,0.22689402103424072,"['Turkey', 'your level', 'Erdoğan']"
43,"We need a president, not a party leader",Ahval,NEUTRAL,0.034115612506866455,0.8180816173553467,0.136891171336174,['a president']
44,"Turkey Resists Western Plans to Create Crisis, Instability on Balkans – Erdogan",Sputnik International,NEUTRAL,0.0035426702816039324,0.9822289943695068,0.013376249000430107,"['Turkey Resists Western Plans', 'Create Crisis', 'Instability']"
45,Erdogan-Vucic consolidate strong ties and vow for higher bilateral trade targets,Independent Balkan News Agency,NEUTRAL,0.046709608286619186,0.9468676447868347,0.004675904754549265,"['Erdogan-Vucic', 'strong ties']"
46,Turkey's President Vows To Launch New Military Operations,Newsy,NEUTRAL,0.004311057273298502,0.9785444140434265,0.016220178455114365,"['Turkey', 'President Vows']"
47,Turkish Opposition Parties To Form Alliance In Bid To Curb Erdogan's Power,The Media Line,NEUTRAL,0.0051188282668590546,0.9920184016227722,0.00244765798561275,"['Turkish Opposition Parties', 'Alliance', 'Bid', 'Curb Erdogan']"
48,Turkish charity sends 20 trucks of aid to Syria,Brinkwire (press release),NEUTRAL,0.012813514098525047,0.9555426836013794,0.02963435649871826,"['Turkish charity', '20 trucks', 'aid']"
49,Turkey's Ruling AK Party Unveils Election Manifesto,UrduPoint News,NEUTRAL,0.004772928077727556,0.9879189133644104,0.006737271789461374,"['Turkey', 'Ruling AK Party Unveils']"
50,Turkey's Islamist 'old guard' joins Erdogan opponents,Al-Monitor,NEUTRAL,0.011684096418321133,0.9775895476341248,0.009758355095982552,"['Turkey', 'old guard']"
51,Secular candidate hopes to push Erdogan into Turkish presidential runoff,Al-Monitor,NEUTRAL,0.0021702151279896498,0.98549485206604,0.011862823739647865,"['Secular candidate', 'Erdogan']"
52,"West cannot bear Turkey's position in Balkans, says Erdoğan",Yeni Şafak English,NEUTRAL,0.0033399704843759537,0.9622858762741089,0.032731324434280396,"['West', 'Turkey', 'position', 'Balkans']"
53,Erdogan Unveils Election Manifesto,Financial Tribune,NEUTRAL,0.006020308472216129,0.9810004234313965,0.012169740162789822,['Erdogan Unveils Election']
54,Understanding Authoritarianism Through Soccer,New Republic,NEUTRAL,0.035651616752147675,0.9550410509109497,0.007993299514055252,['Understanding Authoritarianism']
55,"Turkey, Serbia cooperation may capitalize on tourism opportunities",Daily Sabah,NEUTRAL,0.01908358745276928,0.9706407189369202,0.009273124858736992,"['Turkey', 'Serbia cooperation']"
56,Opposition focusing on parliamentary polls,Daily Sabah,NEUTRAL,0.0068557593040168285,0.9844295978546143,0.008096160367131233,['Opposition']
57,Presidential Candidate Ince Promises To Take 'bold' Steps To Solve Kurdish Issue,UrduPoint News,NEUTRAL,0.008307811804115772,0.9548800587654114,0.034027278423309326,"['Presidential Candidate Ince Promises', 'bold', ""' Steps""]"
58,Turkey's Syrian occupation may be self-defeating,Arab News,NEGATIVE,0.015728361904621124,0.453731507062912,0.517422616481781,"['Turkey', 'Syrian occupation']"
59,Talking Up The Turkish Economy,Global Finance,NEUTRAL,0.013379127718508244,0.9617959260940552,0.023469844833016396,[]
60,US arms sales to allies in Syria used against Turkey – Erdogan,AMN Al-Masdar News,NEUTRAL,0.004707422107458115,0.9536709785461426,0.03931683674454689,"['US arms sales', 'allies', 'Syria']"
61,Pro-govt paper distorts Times article on Turkish elections,Ahval,NEUTRAL,0.01229818444699049,0.9317153692245483,0.05376909300684929,"['Pro-govt paper', 'Times article']"
62,United opposition leaders' call for TV debate shot down by Erdoğan,Ahval,NEUTRAL,0.003406164702028036,0.9923756718635559,0.0038707174826413393,"['United opposition leaders', ""' call"", 'TV debate']"
63,"Turkish President, Erdogan, rejects opposition call for televised election debate",Premium Times,NEUTRAL,0.001296131988056004,0.9889652729034424,0.00928171444684267,"['Turkish President', 'Erdogan', 'opposition call']"
64,Erdogan rejects TV debate challenge,Gulf Times,NEUTRAL,0.005550485569983721,0.9864552021026611,0.007352055516093969,['Erdogan']
65,"Turkey, Serbia aim $5B in trade volume, Erdoğan says",Daily Sabah,NEUTRAL,0.009594179689884186,0.9628525376319885,0.02550579607486725,"['Turkey', 'Serbia', '$5B', 'trade volume', 'Erdoğan']"
66,Turkey to conduct more cross-border military operations in Syria,The Express Tribune,NEUTRAL,0.014412817545235157,0.9521976709365845,0.031573351472616196,"['Turkey', 'more cross-border military operations']"
67,Pro-EU rhetoric amid crackdown in Turkey election,EUobserver,NEUTRAL,0.005399500019848347,0.9737841486930847,0.019498735666275024,"['Pro-EU rhetoric', 'crackdown']"
68,Turkey Slams EU For Failure To Implement Migration Deal,Independent Newspapers Limited,NEUTRAL,0.00942954234778881,0.9073994755744934,0.07848629355430603,"['Turkey Slams EU', 'Failure']"
69,Erdoğan: Serbia 'key country' for stability in Balkans,Hurriyet Daily News,NEUTRAL,0.012402275577187538,0.964074969291687,0.02129206247627735,"['Erdoğan', 'Serbia', ""'key country"", 'stability']"
70,Erdogan Slams EU for Failure to Implement Migration Deal,Sputnik International,NEUTRAL,0.0071144914254546165,0.9413331151008606,0.0482974648475647,"['Erdogan Slams EU', 'Failure']"
71,Erdogan slams international community's apathy for Palestine,Middle East Monitor,NEUTRAL,0.011568352580070496,0.9684737920761108,0.018637435510754585,"['Erdogan', 'international community', 'apathy']"
72,'We don't want Europe' Turkey on collision course with EU as Erdogan launches election bid,Express.co.uk,NEUTRAL,0.006108714733272791,0.9514150023460388,0.03998716548085213,"['Europe', ""' Turkey"", 'collision course', 'EU', 'Erdogan']"
73,"Vucic says Serbia, Turkey building friendship bridges",Daily Sabah,NEUTRAL,0.01643422618508339,0.9745365381240845,0.007818584330379963,"['Vucic', 'Serbia']"
74,Make Turkey great again: Erdogan trumpets more Syria ops & '100% local arms' in bold manifesto,RT,POSITIVE,0.542028546333313,0.4315420091152191,0.0108129708096385,"['Turkey', 'Erdogan', 'more Syria ops', '100%', 'local arms']"
75,Turkish presidential candidate İnce promises to repeal article criminalising insult to president,Stockholm Center for Freedom,NEUTRAL,0.0031004571355879307,0.8819099068641663,0.11207137256860733,"['Turkish presidential candidate İnce', 'article', 'insult']"
76,"Relations between Serbia and Turkey ""better than ever""",B92,NEUTRAL,0.1834009885787964,0.7560667395591736,0.041421324014663696,"['Relations', 'Serbia and Turkey']"
77,COMMENTARY — Turkey's troubles with the US are poisoning trade ties,Stockholm Center for Freedom,NEUTRAL,0.03095640242099762,0.916398286819458,0.04751525819301605,"['COMMENTARY — Turkey', 'troubles', 'the US']"
78,Turkey facing elections: Erdogan announces new military operation in Syria,Eurasia Daily,NEUTRAL,0.005973349791020155,0.9870245456695557,0.006401041056960821,"['Turkey', 'elections', 'Erdogan', 'new military operation']"
79,Turkey vows to launch new cross-border military operations,Muscat Daily,NEUTRAL,0.0050803376361727715,0.9924626350402832,0.0021924932952970266,"['Turkey', 'new cross-border military']"
80,Erdogan: Palestinian symbol of all the oppressed in the world,The Siver Telegram,NEUTRAL,0.05275914818048477,0.9348952174186707,0.009896389208734035,"['Erdogan', 'Palestinian symbol', 'all the oppressed']"
81,Erdogan's electoral tricks and Turkish opposition,112 International (blog),NEUTRAL,0.007230818271636963,0.9883644580841064,0.003936923574656248,"['Erdogan', 'electoral tricks']"
82,Erdogan announced new military operations near the borders of Turkey,The Siver Telegram,NEUTRAL,0.013655189424753189,0.9762294888496399,0.009033451788127422,"['Erdogan', 'new military operations', 'the borders']"
83,Erdogan vows more cross-border offensives in election manifesto,Arab News,NEUTRAL,0.003201686544343829,0.9920846223831177,0.004331598524004221,"['Erdogan', 'more cross-border offensives']"
84,Erdogan uses Turkey election rally to promise new action againsts Kurds,The Times,NEUTRAL,0.007180507760494947,0.9826120138168335,0.008886815048754215,"['Erdogan', 'Turkey election rally', 'new action']"
85,Serbian President to Meet Erdogan and Putin,Balkan Insight,NEUTRAL,0.0061836279928684235,0.8985498547554016,0.09258716553449631,"['Serbian President', 'Meet Erdogan']"
86,Will the Turkish opposition's tactics against Erdoğan work?,Hurriyet Daily News,NEUTRAL,0.007086379453539848,0.9760755300521851,0.015078818425536156,"['the Turkish opposition', 'tactics', 'Erdoğan work']"
87,Turkish opposition candidate for president tells Erdogan 'let's race like men',Yahoo News,NEUTRAL,0.0025374209508299828,0.9829599857330322,0.013693817891180515,"['Turkish opposition candidate', 'president', 'Erdogan', 'race', 'men']"
88,What are Turkey's snap elections really about?,Islam21c,NEUTRAL,0.04429559409618378,0.8990309834480286,0.04903393238782883,"['Turkey', 'snap elections']"
89,Darkening skies for Turkey's strongman ahead of elections,Ahval,NEUTRAL,0.011074029840528965,0.9840245842933655,0.004236620385199785,"['Darkening skies', 'Turkey', 'strongman']"
90,Erdogan: Elections will be 'turning point' for Turkey,Gulf Times,NEUTRAL,0.010047088377177715,0.9605466723442078,0.026810823008418083,"['Erdogan', 'Elections', 'point']"
91,Serbian President Thanks Turkey for “Stabilising Balkans” as Erdogan Slams Western Meddling in Region,http://www.eurasiafuture.com/ (blog),NEUTRAL,0.0068999482318758965,0.9709185361862183,0.020312689244747162,"['Serbian President Thanks Turkey', '“Stabilising Balkans”', 'Erdogan Slams Western Meddling']"
92,Erdoğan unveils manifesto for re-election bid,Hurriyet Daily News,NEUTRAL,0.009213068522512913,0.9770688414573669,0.012577293440699577,"['Erdoğan', 'manifesto']"
93,Erdogan takes election message to Turkey's conservative heartlands,The Times,NEUTRAL,0.006271247752010822,0.939566969871521,0.05078749358654022,"['Erdogan', 'election message', 'Turkey']"
94,Turkey's pro-Kurdish HDP names jailed leader as presidential candidate,Al-Monitor,NEUTRAL,0.013308869674801826,0.9796513915061951,0.006199448369443417,"['Turkey', 'pro-Kurdish HDP names', 'leader']"
95,Financial Times: Turkey holds up Jarablus as blueprint for role in Syria,Kyiv Post,NEUTRAL,0.05910707637667656,0.9053109884262085,0.027350330725312233,"['Financial Times', 'Turkey', 'Jarablus', 'blueprint', 'role']"
96,Press agenda on May 07,www.worldbulletin.net,NEUTRAL,0.008430518209934235,0.9774150252342224,0.013362507335841656,['agenda']
97,President Erdogan Pledges More Turkish Troops In Syria,The Daily Caller,NEUTRAL,0.004061835817992687,0.9433592557907104,0.050812091678380966,"['President Erdogan Pledges', 'More Turkish Troops']"
98,Erdogan pursues EU accession at manifesto unveiling,euronews,NEUTRAL,0.004843051079660654,0.9911325573921204,0.0036443406715989113,"['Erdogan', 'EU accession']"
99,Erdoğan on the road ahead of elections,Daily Sabah,NEUTRAL,0.014714478515088558,0.9772149920463562,0.007322258315980434,"['Erdoğan', 'the road']"
100,"Erdoğan's election manifesto: More democracy, freedom and welfare",Daily Sabah,NEUTRAL,0.027926022186875343,0.893122673034668,0.0733816921710968,"['Erdoğan', 'election manifesto', 'More democracy', 'freedom']"
101,Opposition candidates wish to race Erdoğan in second round,Daily Sabah,NEUTRAL,0.010463009588420391,0.9487832188606262,0.03791892156004906,"['Opposition candidates', 'race Erdoğan']"
102,"Erdogan praises Serbia, calls it a 'key country' for Balkans' stability",Independent Balkan News Agency,NEUTRAL,0.08984501659870148,0.8568978905677795,0.03943536803126335,"['Erdogan', 'Serbia', ""'key country"", 'Balkans']"
103,President Erdoğan: Turkey has never given up on EU full membership,Information-Analytic Agency NEWS.am,NEUTRAL,0.015718819573521614,0.7811407446861267,0.1938074678182602,"['President Erdoğan', 'Turkey']"
104,Turkey's mainstream news channels censor main opposition's presidential candidate,Stockholm Center for Freedom,NEUTRAL,0.00778202572837472,0.9858186841011047,0.005676622968167067,"['Turkey', 'mainstream news channels', 'main opposition']"
105,Turkish opposition parties form alliance before June 24 vote,Greenwich Time,NEUTRAL,0.0034955793526023626,0.9941359758377075,0.0020999314729124308,"['Turkish opposition parties', 'alliance']"
106,"Turkey to launch new operations to clear borders from terrorists, says Erdoğan",Yeni Şafak English,NEUTRAL,0.004507730714976788,0.9785832166671753,0.01604476012289524,"['Turkey', 'new operations', 'borders', 'terrorists']"
107,Manifesto Erdogan: Turkey needs to take place in the top ten world powers,The Koz Times,NEUTRAL,0.03214205428957939,0.9527403116226196,0.010911783203482628,"['Manifesto Erdogan', 'Turkey', 'place', 'the top ten world']"
108,Qatar- Erdogan rejects TV debate challenge,MENAFN.COM,NEUTRAL,0.0037932503037154675,0.9923555850982666,0.0035100902896374464,"['Qatar- Erdogan', 'TV debate']"
109,Europe and Turkey - the end of illusion,TransConflict,NEUTRAL,0.034192800521850586,0.8994445204734802,0.0612250417470932,"['Europe and Turkey', 'the end']"
110,Turkey's opposition candidate complains of 'media embargo',Middle East Eye,NEUTRAL,0.005397311877459288,0.9047542214393616,0.08663861453533173,"['Turkey', 'opposition candidate', 'media embargo']"
111,4406 terrorists 'neutralized' during Operation Olive Branch,Business Standard,NEUTRAL,0.0075669363141059875,0.9774416089057922,0.014228534884750843,"['terrorists', ""'neutralized""]"
112,The world in brief,Arkansas Online,NEUTRAL,0.1227540373802185,0.8617879748344421,0.012631765566766262,['The world']
113,Serbia 'key country' for stability in Balkans,www.worldbulletin.net,NEUTRAL,0.015879860147833824,0.9605451822280884,0.021724851801991463,"['Serbia', ""'key country"", 'stability']"
114,"In election manifesto, Erdogan Guarantees new military Attempts",The Daily Democrat,NEUTRAL,0.004636078607290983,0.9402750134468079,0.05311315134167671,"['election manifesto', 'Erdogan Guarantees new military']"
115,Serbia-Russia-Turkey…New Love Triangle In The Balkans Challenging The EU,Tsarizm (blog),NEUTRAL,0.22220860421657562,0.7585099935531616,0.011545474641025066,"['Serbia-Russia-Turkey…New Love Triangle', 'The Balkans Challenging']"
116,Four Turkish opposition parties form parliamentary coalition,PRESSTV,NEUTRAL,0.0054334006272256374,0.9919604659080505,0.0022797079291194677,['Four Turkish opposition parties']
117,"In election manifesto, Erdogan vows new military campaigns",Іnsіdеr Cаr Nеws,NEUTRAL,0.003664030460640788,0.9893203973770142,0.006545481272041798,"['election manifesto', 'Erdogan']"
118,"June 24 elections mark 'new era' for Turkey, says Erdoğan",Yeni Şafak English,NEUTRAL,0.004974521696567535,0.9823284149169922,0.011891122907400131,"['June 24 elections', 'new era', 'Turkey']"
119,Erdogan Vows New Offensive Against Syrian Kurds,"10,000 Couples",NEUTRAL,0.008355988189578056,0.9431634545326233,0.04427604004740715,['Erdogan Vows New Offensive']
120,Turkish so-called mainstream news channels censor main opposition's presidential candidate,Stockholm Center for Freedom,NEUTRAL,0.004642081912606955,0.9913020133972168,0.0036280069034546614,"['Turkish so-called mainstream news channels', 'main opposition']"
121,4406 terrorists 'neutralized' during Afrin operation,Anadolu Agency,NEUTRAL,0.012134147807955742,0.9636576175689697,0.022981708869338036,"['terrorists', ""'neutralized""]"
122,Erdogan stresses need to reform UN,vestnik kavkaza,NEUTRAL,0.013030805625021458,0.846143901348114,0.13216428458690643,['Erdogan']
123,Serbian president to visit Turkey on Sunday,www.worldbulletin.net,NEUTRAL,0.0049653369933366776,0.9523202180862427,0.04110247641801834,"['Serbian president', 'Turkey']"
124,Turkish President vows to launch more cross-border offensives,ClickLancashire,NEUTRAL,0.002843849826604128,0.9884480834007263,0.008163539692759514,"['Turkish President', 'more cross-border']"
125,How President Erdogan Is Turning Turkey Into Putin's Russia,The Globalist,NEUTRAL,0.0037675518542528152,0.9558277130126953,0.03853509575128555,"['President Erdogan', 'Turning Turkey', 'Putin']"
126,Qatar- Turkey's main opposition candidate demands more media coverage,MENAFN.COM,NEUTRAL,0.008926207199692726,0.9803624749183655,0.009801367297768593,"['Qatar- Turkey', 'main opposition candidate']"
127,Turkey threatens to extend Afrin offensive,MENAFN.COM,NEUTRAL,0.007761653047055006,0.6719749569892883,0.3111574053764343,['Turkey']
128,A Golden Era for Serbia-Turkey Relations That Mainstream and Alt-Media Have Completely Ignored,http://www.eurasiafuture.com/ (blog),NEUTRAL,0.05592219531536102,0.7684464454650879,0.15859784185886383,"['A Golden Era', 'Serbia-Turkey Relations', 'That Mainstream and Alt-Media']"
129,"Turkey to Carry Out New Military Operations After Syria Offensives, Erdogan Says",Newburgh Gazette,NEUTRAL,0.014772331342101097,0.9517073035240173,0.030996760353446007,"['Turkey', 'New Military Operations', 'Syria Offensives']"
130,Turkey vows to ESCALATE Syria WAR to eliminate 'terrorist' Kurdish fighters amid WW3 fears,Express.co.uk,NEUTRAL,0.008748712949454784,0.9560626149177551,0.033181946724653244,"['Turkey', 'ESCALATE Syria WAR', 'terrorist', ""' Kurdish fighters""]"
131,Erdogan says Turkish troops to stay in Afrin,sbDirtySouthSoccer,NEUTRAL,0.004856583196669817,0.9881500005722046,0.00644898135215044,"['Erdogan', 'Turkish troops']"
132,Turkey Pushes Back Against US Attempt at Regime Change,Mintpress News,NEUTRAL,0.008381172083318233,0.8275731205940247,0.15908291935920715,"['Turkey Pushes', 'US Attempt']"
133,A lot of victims in Turkey attacked the headquarters of an opposition party,The Siver Times,NEUTRAL,0.012167884968221188,0.9679773449897766,0.018108772113919258,"['A lot', 'victims', 'Turkey', 'the headquarters']"
